commit,tk/s
daf6108,0.73
62f1ecf,14.98
2b1ff92,11.23
0053c0d,7.37
0053c0d,6.19
cdcc9ec,18.42
cdcc9ec,18.86
cdcc9ec,18.52
cdcc9ec,21.00
f1e5f59,21.98
f1e5f59,23.74
f1e5f59,23.39
f1e5f59,23.06
f1e5f59,23.45
8bc797e,23.69
8bc797e,24.80
8bc797e,22.97
8bc797e,24.31
8bc797e,23.60
8bc797e,23.19
8bc797e,21.87
8bc797e,24.12
d7fd3b0,23.28
d7fd3b0,22.94
d7fd3b0,21.58
d7fd3b0,24.08
d7fd3b0,22.43
02e8b34,23.27
02e8b34,22.75
02e8b34,23.50
02e8b34,19.86
02e8b34,23.28
02e8b34,22.77
02e8b34,22.93
02e8b34,23.63
02e8b34,22.01
